150470 , 3 , 400000
152122 , 3 , 379000
141529 , 3 , 425000
145850 , 3 , 415000
152893 , 3 , 375000
137570 , 3 , 389000
145448 , 3 , 379000
154533 , 3 , 394900
154343 , 3 , 384900
152326 , 3 , 403900
153955 , 3 , 385000
144238 , 3 , 423000
153234 , 3 , 378000
153774 , 3 , 373000
154442 , 3 , 424000
152263 , 3 , 389000
150744 , 3 , 400000
138053 , 3 , 415000
153746 , 3 , 399000
150194 , 3 , 419000
152998 , 3 , 425000
152771 , 3 , 375000
152078 , 3 , 400000
152887 , 3 , 399000
151534 , 3 , 379999
154327 , 3 , 410000
152227 , 3 , 389900
146212 , 3 , 425000
143217 , 3 , 405000
154510 , 3 , 399000
154522 , 3 , 405000
149369 , 3 , 379000
154415 , 3 , 390000
153411 , 3 , 425000
154501 , 3 , 395000
154559 , 3 , 384000
145789 , 3 , 388000
152806 , 3 , 400500
154298 , 3 , 378000
141188 , 3 , 388000
146986 , 3 , 425000
151402 , 3 , 397900
152964 , 3 , 394920
152619 , 3 , 399000
150588 , 3 , 395000
154071 , 3 , 380000
151078 , 3 , 410000
154136 , 3 , 399000
154380 , 3 , 385000
152152 , 3 , 424900
151913 , 3 , 409950
141847 , 3 , 374900
151994 , 3 , 415000
152154 , 3 , 399900
